instnm,pct_airea_completions
Central Maine Community College,0.19396086889539363
De Anza College,0.19304983139752716
Northeast Wisconsin Technical College,0.19301422271545807
Seward County Community College,0.19248359514814076
Clackamas Community College,0.1919655667144907
Minnesota State Community and Technical College,0.19192795920581537
Eastern Iowa Community College District,0.19135399673735728
San Jose City College,0.1912281911592304
San Bernardino Valley College,0.19106748466257667
Modesto Junior College,0.19098262915337264
Pearl River Community College,0.19029876492099632
George C Wallace Community College-Dothan,0.19010244547257105
Nash Community College,0.19007057678267217
New River Community College,0.18918616366282323
Galveston College,0.18892462592644385
Marshalltown Community College,0.18800510421097408
Taft College,0.1873203207747012
Southwest Mississippi Community College,0.1869775626924769
Nashua Community College,0.1869575998016365
Southern Arkansas University Tech,0.1865832393065955
Kaskaskia College,0.18645264847512041
North Arkansas College,0.1858943862987631
Evergreen Valley College,0.18588984979517523
Richmond Community College,0.18544834446497083
Central Carolina Technical College,0.18510870885460948
Guilford Technical Community College,0.18494110156001276
Carl Sandburg College,0.1843672817085573
Cleveland Community College,0.1825832418587633
Community College of Allegheny County,0.18257837745903965
Western Technical College,0.18194721900956787
Virginia Peninsula Community College,0.18168709444844988
Pine Technical & Community College,0.18143961927424151
Kilgore College,0.18087839491069244
Rockingham Community College,0.1804368471035138
Milwaukee Area Technical College,0.18042771693114465
Cape Fear Community College,0.17977984483528983
Northwest Technical College,0.179750223015165
Lake Tahoe Community College,0.1795738924585729
Panola College,0.17949761008847756
Jackson College,0.17949737553682202
Surry Community College,0.17920380273321448
Ivy Tech Community College,0.17892850556833945
Zane State College,0.17831893165750196
John C Calhoun State Community College,0.17787348337501158
Southern Union State Community College,0.17768688934333104
Phillips Community College of the University of Arkansas,0.17764132966334956
Lamar State College-Orange,0.1774670610379134
Colorado Northwestern Community College,0.17702154230408992
Odessa College,0.17702138428444894
Western Nebraska Community College,0.17686424474187382
Blackhawk Technical College,0.17533252720677145
The College of the Florida Keys,0.17521613832853025
Gogebic Community College,0.17502395400830406
John A Logan College,0.17491856677524428
Blue Ridge Community College,0.174628161980241
Owens Community College,0.17436780087382495
Cedar Valley College,0.17422048049071392
Pitt Community College,0.1740739200931277
Compton College,0.17391870766023967
Front Range Community College,0.1737867772236576
Dodge City Community College,0.17308217308217305
Angelina College,0.17276298559580971
Arkansas State University Three Rivers,0.17243235967155743
Pratt Community College,0.17234664070107106
Rowan-Cabarrus Community College,0.17185101811112247
Arkansas Northeastern College,0.1718350966800438
Cincinnati State Technical and Community College,0.17170810095472164
Cochise County Community College District,0.17164663851899967
Sacramento City College,0.17083233059442365
Cowley County Community College,0.1707260226080876
Hill College,0.1703581267217631
College of Marin,0.1702407825432656
Laramie County Community College,0.1685381891755185
Cypress College,0.16843047606867667
Naugatuck Valley Community College,0.16834510747031414
Mid-State Technical College,0.16831083419868464
Washington State Community College,0.16823425022182784
Mohawk Valley Community College,0.16820789740128247
City Colleges of Chicago-Harry S Truman College,0.1673033445076791
Southern Maine Community College,0.16727338915180195
Kirtland Community College,0.16683477910026226
Flathead Valley Community College,0.16633974107493132
Pasadena City College,0.16613124594663894
Mountain Gateway Community College,0.16571915861284822
Virginia Highlands Community College,0.1655595298926929
City Colleges of Chicago-Wilbur Wright College,0.16555420219244824
El Camino Community College District,0.16549860290412716
Lake Michigan College,0.16544893651566814
Porterville College,0.1653012048192771
Williamsburg Technical College,0.1647727272727273
Springfield Technical Community College,0.16455411385284632
Everett Community College,0.16350496838301715
Woodland Community College,0.16336930455635487
Allan Hancock College,0.16303106969855916
Columbia College,0.16298131910026686
Randolph Community College,0.16255394489321678
Western Iowa Tech Community College,0.16246283686582907
College of Alameda,0.1624118024374599
Metropolitan Community College Area,0.16218872870249015
University of New Mexico-Los Alamos Campus,0.16198704103671707
Shasta College,0.1610742496050553
San Joaquin Delta College,0.161051945229298
Sampson Community College,0.1610273134936812
San Diego Mesa College,0.1595890999742113
College of Southern Idaho,0.1594900481332119
Los Angeles Pierce College,0.15919487648673372
Holmes Community College,0.1587779450298266
Feather River Community College District,0.15873798373182155
Lincoln Trail College,0.15862301721228483
Alvin Community College,0.15809596635442555
Kauai Community College,0.15802545793231915
Lake Superior College,0.15800966055713625
Prairie State College,0.15714914210294764
Beaufort County Community College,0.156843321776457
Palomar College,0.1567453719099878
Southwest Texas Junior College,0.15653896961690883
Great Falls College Montana State University,0.15627390971690894
