instnm,mean_completions,mean_airea_completions,mean_students_enrolled,rural,tribal,cz_label,pct_airea_completions
North Central Michigan College,338.5,29,2359.0714285714284,1,2,"Petoskey, MI & Cheboygan, MI",0.08567208271787297
North Central Missouri College,390.42857142857144,22,1760.5714285714287,1,2,"Trenton, MO",0.05634833516282473
North Central State College,454.14285714285717,56.42857142857143,2934.1428571428573,1,2,"Mansfield, OH",0.12425290972003775
North Central Texas College,1135.7857142857142,96.85714285714285,9336.5,1,2,"Dallas, TX",0.08527765549336519
North Country Community College,288.92857142857144,3.0714285714285716,1942.142857142857,1,2,"Plattsburgh, NY",0.010630407911001236
North Dakota State College of Science,610.2857142857143,305.85714285714283,2998.9285714285716,1,2,"Fargo, ND",0.5011704119850187
North Florida College,348.07142857142856,6.785714285714286,1258.2857142857142,1,2,"Cape Coral, FL",0.019495177508721526
North Georgia Technical College,806.9285714285714,274,2619.785714285714,1,2,"Gainesville, GA",0.33955917500221294
North Hennepin Community College,1202.0714285714287,36.642857142857146,6559.928571428572,0,2,"Minneapolis, MN",0.03048309465803078
North Idaho College,1127.4285714285713,148.21428571428572,5404.714285714285,0,2,"Coeur d'Alene, ID",0.13146224024328435
North Iowa Area Community College,850.1428571428571,102.28571428571429,2975.4285714285716,1,2,"Mason City, IA & Austin, MN",0.12031591329188372
North Lake College,1329.8,79.9,11191.3,0,2,"Dallas, TX",0.06008422319145737
North Seattle College,1090.857142857143,121,5849.785714285715,0,2,"Seattle, WA",0.1109219486642221
North Shore Community College,991,45.714285714285715,6296.928571428572,0,2,"Boston, MA",0.04612945077122676
NorthWest Arkansas Community College,1249.142857142857,40.642857142857146,7915.285714285715,0,2,"Fayetteville, AR",0.03253659652333029
Northampton County Area Community College,1466.9285714285713,156.78571428571428,9906.57142857143,0,2,"Allentown, PA",0.10688026488776355
Northcentral Technical College,1579.2857142857142,337.8571428571429,5299.714285714285,0,2,"Wausau, WI",0.2139303482587065
Northeast Alabama Community College,782.5714285714286,153,2845.5714285714284,1,2,"Gadsden, AL",0.1955093099671413
Northeast Community College,866.2142857142857,288.2142857142857,5222.071428571428,1,2,"Norfolk, NE",0.3327286220829554
Northeast Iowa Community College,764,181.07142857142858,4663.714285714285,1,2,"Decorah, IA",0.23700448765893795
Northeast Lakeview College,523,3.5,6052.375,0,2,"San Antonio, TX",0.006692160611854685
Northeast Mississippi Community College,675.8571428571429,102.28571428571429,3436.5714285714284,1,2,"Tupelo, MS",0.1513422109490594
Northeast State Community College,1139.4285714285713,231.78571428571428,5939.5,1,2,"Johnson City, TN",0.20342276830491476
Northeast Texas Community College,544.2857142857143,61.57142857142858,3086.8571428571427,1,2,"Texarkana, TX",0.1131233595800525
Northeast Wisconsin Technical College,2445.785714285714,472.07142857142856,10495.857142857143,0,2,"Green Bay, WI",0.19301422271545807
Northeastern Junior College,454.5,135.28571428571428,1663,1,2,"Sterling, CO",0.2976583372622976
Northeastern Oklahoma A&M College,425.42857142857144,40.357142857142854,2075.1428571428573,1,2,"Miami, OK",0.09486232370718602
Northeastern Technical College,223.42857142857142,64.64285714285714,1255.857142857143,1,2,"Myrtle Beach, SC",0.2893222506393862
Northern Essex Community College,918.2142857142857,60.07142857142857,5923.642857142857,1,2,"Boston, MA",0.06542201478024115
Northern Maine Community College,193.35714285714286,69.07142857142857,906.7857142857143,1,2,"Presque Isle, ME & Caribou, ME",0.3572220169929811
Northern Oklahoma College,787.5714285714286,63.785714285714285,4279.857142857143,1,2,"Stillwater, OK",0.08099038635951387
Northern Virginia Community College,7177.285714285715,722.7857142857143,51370.5,0,2,"Washington, DC",0.10070460380963756
Northern Wyoming Community College District,675.0714285714286,193.92857142857142,4052.1428571428573,1,2,"Sheridan, WY",0.2872711882340493
Northland Community and Technical College,994.4285714285713,258,3397.4285714285716,1,2,"Grand Forks, ND",0.2594454819709812
Northland Pioneer College,524.7142857142857,170.71428571428572,3192.0714285714284,1,2,"Gallup, NM",0.325347127688538
Northshore Technical Community College,1417.2857142857142,604.5,4124.571428571428,1,2,"New Orleans, LA",0.4265195040822498
Northwest College,365.35714285714283,81.07142857142857,1667.5714285714287,1,2,"Cody, WY",0.22189638318670576
Northwest Florida State College,1494.142857142857,22.214285714285715,5894.214285714285,0,2,"Pensacola, FL",0.014867578162348218
Northwest Iowa Community College,382.2142857142857,172.71428571428572,1672.5714285714287,1,2,"Sioux Center, IA",0.4518781536161465
Northwest Kansas Technical College,270.7142857142857,160.35714285714286,677.8571428571429,1,2,"Goodland, KS",0.5923482849604221
