county,CZ,cz_label
21027,230,"Elizabethtown, KY"
40075,442,"Altus, OK"
40113,440,"Tulsa, OK"
8117,80,"Rifle, CO & Edwards, CO & Glenwood Springs, CO & Gypsum, CO"
36115,380,"Albany, NY"
36009,381,"Buffalo, NY"
21221,232,"Clarksville, TN"
22075,240,"New Orleans, LA"
8093,72,"Denver, CO"
8051,82,"Gunnison, CO"
22113,238,"Lafayette, LA"
22101,241,"Houma, LA"
8107,86,"Steamboat Springs, CO"
22017,244,"Shreveport, LA"
8029,79,"Grand Junction, CO"
22123,247,"Tallulah, LA"
22115,239,"Beaumont, TX & Lake Charles, LA"
23031,248,"Portland, ME"
22091,246,"Baton Rouge, LA"
23003,249,"Presque Isle, ME & Caribou, ME"
23017,248,"Portland, ME"
24037,91,"Washington, DC"
24017,91,"Washington, DC"
24021,253,"Hagerstown, MD & Frederick, MD"
24043,253,"Hagerstown, MD & Frederick, MD"
1043,5,"Birmingham, AL"
1001,1,"Montgomery, AL"
1121,6,"Anniston, AL"
25025,254,"Boston, MA"
25005,256,"Providence, RI"
1131,2,"Mobile, AL"
1091,4,"Tuscaloosa, AL"
27027,279,"Fargo, ND"
27017,283,"Duluth, MN"
27119,294,"Grand Forks, ND"
1041,1,"Montgomery, AL"
1085,1,"Montgomery, AL"
1063,4,"Tuscaloosa, AL"
28149,245,"Vicksburg, MS"
28153,304,"Hattiesburg, MS"
29143,312,"Cape Girardeau, MO"
29095,194,"Kansas City, MO"
29183,160,"St. Louis, MO"
29197,307,"Kirksville, MO"
29023,313,"Poplar Bluff, MO"
29157,312,"Cape Girardeau, MO"
30003,324,"Sheridan, WY"
30053,333,"Kalispell, MT"
30051,336,"County: Liberty Co., MT"
30005,325,"Great Falls, MT"
30083,342,"Williston, ND"
30001,323,"Dillon, MT"
30009,327,"Billings, MT"
32017,364,"St. George, UT"
32033,363,"Elko, NV"
33017,365,"Nashua, NH"
34009,368,"Trenton, NJ"
34015,368,"Trenton, NJ"
34003,369,"Newark, NJ & Jersey City, NJ"
34019,369,"Newark, NJ & Jersey City, NJ"
35017,36,"Deming, NM"
35045,74,"Farmington, NM"
35039,371,"Albuquerque, NM"
35007,373,"Las Vegas, NM"
36045,389,"Watertown, NY"
36019,387,"Plattsburgh, NY"
36031,387,"Plattsburgh, NY"
37095,396,"Washington, NC"
37055,401,"Virginia Beach, VA"
37129,399,"Wilmington, NC"
37119,394,"Charlotte, NC"
37137,402,"Jacksonville, NC"
37089,400,"Asheville, NC"
37115,400,"Asheville, NC"
37155,398,"Fayetteville, NC"
38017,279,"Fargo, ND"
13185,112,"Valdosta, GA"
13171,117,"Atlanta, GA"
13133,108,"Milledgeville, GA"
13183,115,"Savannah, GA"
13019,112,"Valdosta, GA"
13263,7,"Columbus, GA"
13191,114,"Brunswick, GA"
13205,107,"Albany, GA"
13141,108,"Milledgeville, GA"
13283,121,"Dublin, GA"
13265,108,"Milledgeville, GA"
15003,126,"Honolulu, HI"
15001,125,"Hilo, HI"
16063,134,"Twin Falls, ID"
16037,138,"Salmon, ID"
16039,129,"Boise, ID"
16003,130,"McCall, ID"
16029,132,"Evanston, WY"
17047,150,"Olney, IL"
18049,163,"Fort Wayne, IN"
18175,168,"Louisville, KY"
18013,164,"Columbus, IN"
18009,165,"Muncie, IN"
19105,180,"Cedar Rapids, IA"
19077,175,"Des Moines, IA"
20149,205,"Manhattan, KS"
20055,211,"Garden City, KS"
20167,209,"Hays, KS"
20135,217,"Scott City, KS"
20093,211,"Garden City, KS"
21029,168,"Louisville, KY"
21067,221,"Lexington, KY"
21209,221,"Lexington, KY"
21031,220,"Bowling Green, KY"
21025,229,"Hazard, KY"
21181,221,"Lexington, KY"
21155,219,"Bardstown, KY & Campbellsville, KY"
21085,230,"Elizabethtown, KY"
21177,220,"Bowling Green, KY"
45069,474,"Myrtle Beach, SC"
45007,470,"Greenville, SC"
45083,407,"Spartanburg, SC"
46127,192,"Sioux City, IA"
46013,477,"Aberdeen, SD"
47079,488,"Paris, TN"
47029,493,"Morristown, TN"
47155,493,"Morristown, TN"
47167,51,"Memphis, TN"
47147,490,"Nashville, TN"
48167,501,"Houston, TX"
48261,499,"McAllen, TX"
48479,306,"San Antonio, TX"
48409,499,"McAllen, TX"
48141,375,"El Paso, TX"
48321,501,"Houston, TX"
48245,239,"Beaumont, TX & Lake Charles, LA"
49025,34,"Prescott Valley, AZ & Flagstaff, AZ"
51141,556,"Martinsville, VA"
49005,139,"Logan, UT"
49043,536,"Salt Lake City, UT"
49047,535,"Vernal, UT"
49023,536,"Salt Lake City, UT"
50009,367,"Lebanon, NH & Claremont, NH"
51001,541,"Chincoteague, VA"
51095,555,"Newport News, VA"
51093,401,"Virginia Beach, VA"
51153,91,"Washington, DC"
51057,554,"Warsaw, VA & Tappahannock, VA"
51105,553,"Big Stone Gap, VA"
51195,553,"Big Stone Gap, VA"
51191,489,"Johnson City, TN"
51083,549,"South Boston, VA & Farmville, VA"
51059,91,"Washington, DC"
